berief_content,category,content,create_date,title
"Sáng ngày 29/10/2020, tại khách sạn Hilton Hà Nội, Báo Tiền Phong phối hợp với Công ty Cổ phần Thanh toán quốc gia Việt Nam (Napas) đã tổ chức họp báo công bố ”Ngày Thẻ Việt Nam 2020” với chủ đề Khơi dậy nội lực từ khủng hoảng COVID-19, thúc đẩy phát triển thanh toán không dùng tiền mặt. Họp báo có sự tham gia của đại diện NHNN, lãnh đạo báo Tiền phong, đại diện NAPAS. Về phía Vietcombank, có sự hiện diện của ông Phạm Mạnh Thắng – Phó Tổng Giám đốc.",Banking group,"
                ,​​​​​​​,Bà Nguyễn Thị Kiều Vân – Phó Giám đốc Trung tâm thẻ Vietcombank phát biểu tại họp báo,Triển khai Đề án của Chính phủ về thúc đẩy thanh toán không dùng tiền mặt, góp phần hỗ trợ hoạt động sản xuất, kinh doanh song song với ổn định xã hội và thúc đẩy sự phát triển trở lại của nền kinh tế, báo Tiền Phong đưa ra sáng kiến tổ chức chuỗi sự kiện Ngày Thẻ Việt Nam - sự kiện về thẻ thanh toán lần đầu tiên dành cho giới trẻ. Theo đó, khách hàng sử dụng thẻ ngân hàng làm phương tiện thanh toán tại các gian hàng thương mại và gian hàng trực tuyến với hàng nghìn chương trình khuyến mại và ưu đãi hấp dẫn. Sáng kiến này của Báo Tiền Phong được khởi đầu bằng sự kiện Lễ hội mua sắm ""Sóng Festival"" trong 2 ngày 7 - 8/11/2020 tại Sân vận động Bách Khoa, Hà Nội và Tuần lễ siêu khuyến mại (Mega Sales), được tổ chức từ ngày 9 – 15/11/2020.,Toàn cảnh họp báo Ngày Thẻ Việt Nam 2020,Phát biểu khai mạc sự kiện, ông Phạm Tiến Dũng - Vụ trưởng Vụ Thanh toán Ngân hàng Nhà nước (NHNN) cho biết, ngày Thẻ Việt Nam 2020 sẽ tạo cơ hội, truyền cảm hứng cho giới trẻ Việt Nam tiếp cận, trải nghiệm các dịch vụ ngân hàng, thanh toán hiện đại và tiện ích, hình thành thói quen sử dụng thanh toán thẻ nói riêng và thanh toán không dùng tiền mặt nói chung.,Tại buổi họp báo, bà Nguyễn Thị Kiều Vân – Phó Giám đốc Trung tâm thẻ Vietcombank, ,chia sẻ: những năm vừa qua Vietcombank đã không ngừng cải tiến để thúc đẩy thanh toán số thông qua việc nâng cao trải nghiệm khách hàng, chuyển đổi khách hàng từ kênh truyền thống sang các kênh giao dịch số, với việc phát triển đổi mới hệ thống kênh số, gia tăng các ưu đãi khác biệt trên kênh số; tích cực hợp tác với các công ty Fintech để triển khai áp dụng các công nghệ số hóa theo xu thế thị trường; tập trung vào việc ứng dụng các thành tựu công nghệ tiên tiến nhất, triển khai các dịch vụ thanh toán hiện đại, nhanh chóng, tiện lợi với tiêu chuẩn an toàn bảo mật cao nhất cho người dùng như thẻ chip không tiếp xúc (Contactless), phương thức thanh toán trên các ứng dụng di động như mã vạch hai chiều QR Pay, công nghệ mã hóa hiện đại (tokenization), thanh toán trên thiết bị di động ứng dụng công nghệ giao tiếp không dây tầm ngắn NFC, triển khai hệ thống Smart POS, MPOS; ứng dụng công nghệ e-KYC vào định danh khách hàng… Vietcombank đồng thời liên tục mở rộng và đa dạng hóa việc hợp tác với các nhà cung cấp dịch vụ/đối tác trong lĩnh vực thanh toán nhằm tạo ra một hệ sinh thái đáp ứng tối đa nhu cầu của khách hàng, đồng hành cùng khách hàng trong hành trình cuộc sống từ giáo dục, y tế, điện, nước, viễn thông đến nhà hàng, khách sạn, du lịch, giải trí, mua sắm, vận tải, bảo hiểm, chứng khoán, xăng dầu, cửa hàng tiện lợi, dịch vụ công... Trong buổi họp báo công bố “Ngày thẻ Việt Nam 2020”, Vietcombank vinh dự đồng hành cùng chuỗi sự kiện có ý nghĩa này, góp phần đưa hệ sinh thái thanh toán không tiền mặt của hệ thống ngân hàng tới gần hơn nữa với công chúng, với người dân, đặc biệt là học sinh, sinh viên, những chủ nhân tương lai của đất nước, để cùng xây dựng một xã hội thanh toán hiện đại, văn minh và nhân văn., ,VCB News,
            ",30/10/2020 09:31 SA,VIETCOMBANK ĐỒNG HÀNH CÙNG NGÀY THẺ VIỆT NAM 2020
Vietcombank trân trọng thông báo điều chỉnh mức ưu đãi phí dịch vụ Ngân hàng dành cho chủ thẻ tín dụng hạng Platinum/World từ ngày 08/07/2020.,Banking group,"
                ,Cụ thể như sau: ,

,
	,
		,
			,
			,Kênh cung ứng dịch vụ,
			,
			,
			,Ưu đãi hiện tại,
			,
			,
			,Ưu đãi sau điều chỉnh,
			,
		,
		,
			,
			,Quầy,
			,
			,
			,
				,Miễn phí xác nhận số dư tài khoản,
				,Miễn phí chuyển tiền tại quầy (tài khoản – tài khoản) trong cùng hệ thống VCB,
			,

			, ,
			,
			,
			,
				,Giảm 50% phí xác nhận số dư tài khoản ,(giữ nguyên mức min, max),
				,Giảm 50% phí chuyển tiền tại quầy (tài khoản – tài khoản) trong cùng hệ thống VCB ,(giữ nguyên mức min, max),
			,
			,
		,
		,
			,
			,SMS chủ động,
			,
			,
			,
				,Miễn phí duy trì dịch vụ ,
			,
			,
			,
			,
				,Miễn phí duy trì dịch vụ ,
			,
			,
		,
		,
			,
			,VCB Mobile B@nking,
			,
			,
			,
				,Không được ưu đãi,
			,
			,
			,
			,
				,Miễn phí duy trì dịch vụ,
				,Giảm 50% phí chuyển tiền ,(giữ nguyên mức min, max),
			,
			,
		,
		,
			,
			,VCB,

			,i-B@nking,
			,
			,
			,
				,Miễn phí duy trì dịch vụ,
				,Giảm 100% phí giao dịch,
			,
			,
			,
			,
				,Miễn phí duy trì dịch vụ,
				,Giảm 50% phí chuyển tiền ,(giữ nguyên mức min, max),
			,
			,
		,
	,
,

,Thời gian áp dụng ưu đãi,: Xuyên suốt thời hạn hiệu lực của thẻ.,

,Cảm ơn Quý khách đã tin tưởng và lựa chọn Vietcombank. Chúng tôi hy vọng tiếp tục mang tới những trải nghiệm giá trị và luôn được đồng hành cùng sự thành công của Quý khách.,

,Trân trọng!,

            ",01/07/2020 05:03 CH,VIETCOMBANK THÔNG BÁO ĐIỀU CHỈNH MỨC ƯU ĐÃI PHÍ DỊCH VỤ NGÂN HÀNG DÀNH CHO CHỦ THẺ TÍN DỤNG HẠNG PLATINUM/WORLD
"Nằm trong tổng thể chiến lược chuyển đổi số đang được thực thi mạnh mẽ và toàn diện, sau một thời gian nghiên cứu và phát triển, Vietcombank đã chính thức ra mắt dịch vụ VCB-iB@nking dành cho khách hàng tổ chức phiên bản 2020 (VCB-iB@nking KHTC 2020) từ ngày 22/10/2020.",Banking group,"
                ,

,Sau giai đoạn đầu triển khai với nhóm khách hàng trong danh sách lựa chọn và nhận được các đánh giá, phản hồi hết sức tích cực, Vietcombank sẽ chính thức cung cấp dịch vụ VCB-iB@nking KHTC 2020 tới khách hàng từ ngày 29/10/2020. ,

,VCB-iB@nking KHTC 2020 được xây dựng dựa trên việc lắng nghe ý kiến của khách hàng, hướng tới sự đơn giản hóa và nâng cao trải nghiệm của người dùng với các nâng cấp quan trọng như:  ,

,
	,Đổi mới giao diện:, Giao diện VCB-iB@nking KHTC 2020 được thiết kế theo hướng đơn giản, hiện đại, dễ sử dụng, thân thiện với các trình duyệt web phổ biến và tương thích với thiết bị di động.,
	,Đơn giản hóa trải nghiệm:, VCB-iB@nking KHTC 2020 kế thừa toàn bộ các tính năng đã có trên phiên bản cũ, đồng thời sắp xếp, thiết kế lại theo mục đích giao dịch và thể hiện trực quan hành trình giao dịch của khách hàng.,
	,Nâng cấp tính năng:, VCB-iB@nking KHTC 2020 bổ sung thêm một số tính năng hỗ trợ khách hàng như in báo nợ/báo có tập trung, công cụ tìm kiếm giao dịch, bảng biểu/biểu đồ trực quan… ,
	,Các tính năng, tiện ích mới, sẽ tiếp tục được cập nhật theo thời gian.   ,
,

,Trong quá trình trải nghiệm dịch vụ mới, nếu cần hỗ trợ, Quý Khách hãy liên hệ với Chi nhánh Đầu mối Phục vụ để được trợ giúp. ,

,Trân trọng thông báo./.,

,VCB News,

            ",28/10/2020 01:24 CH,VIETCOMBANK CHÍNH THỨC CUNG CẤP DỊCH VỤ NGÂN HÀNG TRỰC TUYẾN VCB-IB@NKING DÀNH CHO KHÁCH HÀNG TỔ CHỨC PHIÊN BẢN 2020
"Nhằm mục đích bảo vệ tài sản của khách hàng, trong thời gian qua, Vietcombank đã xây dựng rất nhiều phương thức để khách hàng có thể khóa thẻ nhanh chóng.",Banking group,"
                ,Trong trường hợp thẻ bị thất lạc, mất cắp hay phát sinh giao dịch giả mạo, giao dịch đáng ngờ, Quý khách hãy chủ động khóa thẻ tạm thời qua các hình thức sau:,

,
	,
		,
			,
			,STT,
			,
			,
			,Kênh thực hiện,
			,
			,
			,Mô tả,
			,
		,
		,
			,
			,Cách 1,
			,
			,
			,Khóa thẻ trên ngân hàng số VCB Digibank,
			,
			,
			,Đăng nhập vào VCB Digibank >> Quản lý dịch vụ thẻ >> Khóa thẻ.,
			,
		,
		,
			,
			,Cách 2,
			,
			,
			,Gửi tin nhắn SMS tới tổng đài ,6167,
			,
			,
			,Khóa toàn bộ thẻ tại VCB,
			,
			,
			,VCB KT TOANBO,
			,
		,
		,
			,
			,Khóa toàn bộ thẻ Visa,
			,
			,
			,VCB KT VISA,
			,
		,
		,
			,
			,Khóa toàn bộ thẻ Master,
			,
			,
			,VCB KT MASTER,
			,
		,
		,
			,
			,Khóa toàn bộ thẻ Amex,
			,
			,
			,VCB KT AMEX,
			,
		,
		,
			,
			,Khóa toàn bộ thẻ JCB,
			,
			,
			,VCB KT JCB,
			,
		,
		,
			,
			,Khóa toàn bộ thẻ Unionpay,
			,
			,
			,VCB KT UNIONPAY,
			,
		,
		,
			,
			,Khóa toàn bộ thẻ nội địa:,
			,
			,
			,VCB KT NOIDIA,
			,
		,
		,
			,
			,Lưu ý,:,

			,
				,Trường hợp không nhớ cú pháp cụ thể, Quý khách soạn tin nhắn theo cú pháp VCB HELP và gửi đến tổng đài 6167 để được hướng dẫn.,
				,Thẻ của Quý khách chỉ được khóa thành công khi Quý khách nhận được tin nhắn phản hồi với nội dung “Thẻ của Quý khách đã được khóa tạm thời”.,
			,
			,
		,
		,
			,
			,Cách 3,
			,
			,
			,Tổng đài tự động 1900545413,
			,
			,
			,Khách hàng khóa thẻ bằng cách gọi điện đến số 1900545413 >> Nhấn phím 1 >> 1 >> 1 và làm theo hướng dẫn.,
			,
		,
		,
			,
			,Cách 4,
			,
			,
			,Trung tâm hỗ trợ Khách hàng 24/7,
			,
			,
			,Khách hàng kết nối với nhân viên hỗ trợ qua tổng đài 1900545413 và yêu cầu khóa thẻ.,
			,
		,
		,
			,
			,Cách 5,
			,
			,
			,Tại điểm giao dịch của Vietcombank trên toàn quốc,
			,
			,
			,Khách hàng trực tiếp ra các điểm giao dịch của Vietcombank để yêu cầu khóa thẻ.,
			,
		,
	,
,

,Vietcombank khuyến khích khách hàng khóa thẻ qua Ngân hàng số VCB Digibank hoặc tin nhắn SMS để đảm bảo thẻ được khóa nhanh nhất.,

,Sau khi xác định thẻ của mình đã an toàn, Quý khách có thể mở lại thẻ để sử dụng ngay trên VCB Digibank (bằng cách: Đăng nhập vào VCB Digibank >> Quản lý dịch vụ thẻ >> Mở khóa thẻ) hoặc đến trực tiếp các điểm giao dịch của Vietcombank trên toàn quốc.,

,____________________,

,Quý khách vui lòng tham khảo thêm thông tin về Hướng dẫn giao dịch an toàn khi giao dịch thẻ ,tại đây.,

,VCB News,

            ",27/10/2020 11:00 SA,05 CÁCH ĐỂ KHÓA THẺ TẠM THỜI TRONG TRƯỜNG HỢP KHẨN CẤP
"Trước tín hiệu khả quan về việc dần đẩy lùi dịch Covid tại Việt Nam, hân hoan chào đón cuộc sống mới sau một thời gian tạm nghỉ, Vietcombank xin trân trọng thông báo đến Quý khách hàng về việc cung cấp trở lại Ưu đãi ẩm thực cao cấp dành cho khách hàng là chủ thẻ Vietcombank Visa Signature.",Banking group,"
                ,Danh sách các nhà hàng tham gia chương trình vui lòng cập nhật, ,tại đây,

,(*)Tình trạng hoạt động của các nhà hàng trong danh sách có thể thay đổi và được cập nhật theo từng thời điểm. Chủ thẻ vui lòng liên hệ hotline (+84) 28 3824 0508 để được cập nhật thông tin về tình trạng hoạt động của các nhà hàng,

,

,Vietcombank kính mong Quý khách hàng tiếp tục thực hiện nghiêm theo khuyến cáo của Chính phủ và Bộ Y tế về phòng chống dịch bệnh Covid tại Việt Nam,

,Chân thành cảm ơn Quý Khách hàng đã tin tưởng và sử dụng dịch vụ của Vietcombank. ,

,Sở hữu thẻ Vietcombank Visa Signature, Quý khách hàng được tận hưởng ưu đãi hoàn tiền không giới hạn, đặc quyền ẩm thực cao cấp, Quý khách hàng còn được hưởng các dịch vụ về phòng chờ cao cấp tại nhiều sân bay, gói bảo hiểm Du lịch toàn cầu, Golf,.. và rất nhiều ưu đãi vượt trội khác. Thông tin chi tiết về sản phẩm vui lòng xem, ,tại đây.,

,VCB News,

            ",08/05/2020 11:11 SA,HOẠT ĐỘNG TRỞ LẠI ƯU ĐÃI ẤM THỰC CAO CẤP DÀNH CHO CHỦ THẺ VIETCOMBANK VISA SIGNATURE
Khi những thông tin hình ảnh về đợt lũ lụt và lở đất khiến hàng triệu người ở 6 tỉnh miền Trung phải gánh chịu hậu quả nặng nề cũng là lúc cán bộ nhân viên Vietcombank tại địa bàn TP. Hồ Chí Minh tiến hành phát động và thực hiện công tác chuẩn bị cho chương trình từ thiện “Hỗ trợ cho người dân có hoàn cảnh đặc biệt khó khăn bị ảnh hưởng bởi bão lũ”.,Banking group,"
                ,Với mục đích cao đẹp là mang đến sự quan tâm, sẻ chia và những món thiết thực cho các gia đình có hoàn cảnh khó khăn tại các huyện, xã chịu ảnh hưởng nặng nề của mưa lũ, chương trình đã được đông đảo các đoàn viên, công đoàn viên trong Văn phòng đại diện Vietcombank tại khu vực phía Nam, các chi nhánh trên địa bàn TP. Hồ Chí Minh, chi nhánh Quảng Nam nhiệt tình chung tay hưởng ứng.,

,Xuyên suốt trong hai ngày 21 và 22/10/2020, bà Nguyễn Thị Minh Hải - Phó trưởng Văn phòng đại diện Vietcombank tại khu vực phía Nam, bà Đoàn Thị Thanh Tâm - Phó Giám đốc chi nhánh Kỳ Đồng, ông Phạm Doãn Quốc -  Phó Giám đốc chi nhánh Quảng Nam, ông Phan Thanh Tùng – Bí thư Đoàn cơ sở Vietcombank Quảng Nam ,cùng, đại diện đoàn viên thanh niên tại các đơn vị, đã trực tiếp đến thăm hỏi người dân một số xã bị ảnh hưởng nặng trong đợt bão lũ vừa qua thuộc huyện Đại Lộc, huyện Duy Xuyên, huyện Đông Giang và trao 400 phần quà gồm nhu yếu phẩm và tiền mặt cho bà con. ,

,

,Văn phòng đại diện Vietcombank tại khu vực phía Nam và đại diện các chi nhánh Kỳ Đồng, Sài Thành, Quảng Nam cùng các đoàn viên thanh niên trao quà cho người dân vùng lũ huyện Duy Xuyên, tỉnh Quảng Nam,

, ,

,Đặc biệt, sáng sớm ngày 22/10/2020, trong tiết trời mưa lạnh, các thành viên trong đoàn đã vượt chặng đường dài hơn 200 km để đến với các hộ nghèo, đối tượng chính sách khó khăn của huyện Đông Giang, tỉnh Quảng Nam. ,

,Sau chuyến đi,,, mỗi người trong đoàn đều có những cảm xúc không thể diễn tả thành lời khi phải đối diện với thực tế khó khăn, của người dân vùng bão lũ, mà trước khi tới đây không sao hình dung được hết,.,

,

,Đoàn trao quà cho các gia đình khó khăn tại huyện Đông Giang, tỉnh Quảng Nam, ,

,Với tinh thần sẻ chia, có trách nhiệm trong cộng đồng, b,ên cạnh những nỗ lực ,mang lại hiệu quả ,trong hoạt động kinh doanh,,, Vietcombank ,nói chung và các chi nhánh trong hệ thống nói riêng ,luôn quan tâm thực hiện công tác an sinh xã hội, thể hiện đúng tinh thần dân tộc “Lá lành đùm lá rách”, lan tỏa ngọn lửa yêu thương trong cộng đồng và xã hội.,/.,

,VCB News,

            ",30/10/2020 09:16 SA,CÁC CHI NHÁNH VIETCOMBANK TRÊN ĐỊA BÀN TP.HCM VÀ VIETCOMBANK QUẢNG NAM TẶNG QUÀ HỖ TRỢ NGƯỜI DÂN TỈNH QUẢNG NAM BỊ ẢNH HƯỞNG BỞI BÃO LŨ
,Banking group,"
                ,

, ,

            ",19/10/2020 09:07 SA,THƯ CHÚC MỪNG CỦA BAN LÃNH ĐẠO VIETCOMBANK NHÂN NGÀY PHỤ NỮ VIỆT NAM 20-10
"Ngày 22/10/2020, tại trụ sở 11 Láng Hạ, Ba Đình, Hà Nội, Vietcombank Sở giao dịch đã tổ chức thành công buổi báo cáo các sáng kiến khoa học năm 2020.",Banking group,"
                ,Tham dự buổi lễ có ,Tiến sỹ Hồ Văn Tuấn – UV BCH Đảng bộ Vietcombank, Bí thư Đảng ủy, Giám đốc, Chủ tịch Hội đồng khoa học Sở giao dịch; các thành viên trong Ban Giám đốc, Hội đồng khoa học chi nhánh, Trưởng/phụ trách phòng có sáng kiến và các tác giả/nhóm tác giả có sáng kiến trình bày trong buổi báo cáo.,

,

,TS. Hồ Văn Tuấn – Giám đốc, Chủ tịch ,Hội đồng khoa học Vietcombank Sở giao dịch phát biểu tại buổi Lễ,

,Phát biểu tại buổi lễ, TS. Hồ Văn Tuấn – Giám đốc, Chủ tịch ,Hội đồng khoa học Sở giao dịch, chia sẻ: “Trong những năm qua, hoạt động nghiên cứu khoa học được Ban lãnh đạo Vietcombank nói chung và Ban Giám đốc Sở giao dịch nói riêng đặc biệt chú trọng. Năm 2018, khi Vietcombank thành lập Hội đồng khoa học, Sở giao dịch cũng đã thành lập Hội đồng khoa học để ứng dụng, triển khai kịp thời các hoạt động nghiên cứu khoa học, sáng kiến, cải tiến kỹ thuật vào hoạt động kinh doanh hàng ngày”.,

,Đối với các sáng kiến khoa học trong năm 2020, ,Hội đồng Khoa học Sở giao dịch đã phân loại nội dung các sáng kiến theo mảng nghiệp vụ khách hàng bán buôn, bán lẻ và khối hỗ trợ, giao nhiệm vụ tới các thành viên trong Hội đồng Khoa học là Ban Giám đốc và các Trưởng phòng phụ trách mảng nghiệp vụ chấm duyệt vòng sơ khảo. Q,ua quá trình đánh giá tổng thể, sàng lọc kỹ lưỡng và công tâm của các thành viên ,Hội đồng Khoa học Sở giao dịch, đã chọn được 8 trong số 36 sáng kiến của các tác giả/nhóm tác giả đến từ các phòng tại Sở giao dịch làm các Sáng kiến tiêu biểu đại diện thuyết trình trước Hội đồng.,

,

,Tác giả thuyết trình sáng kiến,

,Sau gần 5 tiếng, các tác giả/nhóm tác giả trình bày Sáng kiến cũng như lắng nghe các góp ý, nhận xét từ các thành viên HĐKH và lãnh đạo các phòng ban, HĐKH đánh giá cao sự cố gắng, tâm huyết của các tác giả và đã thống nhất khen thưởng 1 giải Nhất, 1 giải Nhì, 2 giải Ba và 4 giải Khuyến khích cho các tác giả/nhóm tác giả. Hội đồng cũng thống nhất biểu dương và khen thưởng đối với tất cả các cán bộ đã có Sáng kiến khoa học trong năm 2020.,

,Kết thúc buổi lễ, Chủ tịch ,Hội đồng Khoa học Sở giao dịch, – Giám đốc Hồ Văn Tuấn tuyên dương những tác giả/nhóm tác giả đã có những cống hiến và đóng góp ý nghĩa, tích cực tại buổi báo cáo, giao nhiệm vụ tiếp tục triển khai công tác nghiên cứu khoa học, sáng kiến trong thời gian tới nhằm đổi mới, nâng cao chất lượng sản phẩm dịch vụ, tăng cường hiệu quả hoạt động ở mọi lĩnh vực, đồng thời Giám đốc Hồ Văn Tuấn thể hiện sự kì vọng với việc phát huy hơn nữa vai trò đầu tầu của Ban Giám đốc, các thành viên ,Hội đồng khoa học,, các lãnh đạo phòng để hoạt động nghiên cứu khoa học của Sở giao dịch có chất lượng, tính thực tiễn cao và đóng góp nhiều hơn nữa vào kết quả kinh doanh chung của Sở giao dịch và toàn hệ thống Vietcombank./.,

,VCB News ,

            ",29/10/2020 01:44 CH,VIETCOMBANK SỞ GIAO DỊCH TỔ CHỨC BUỔI BÁO CÁO CÁC SÁNG KIẾN KHOA HỌC NĂM 2020
Đối tượng áp dụng: Chủ thẻ Vietcombank Connect24 chip contactless phát hành mới trong thời gian khuyến mại.,Banking group,"
                ,(Bao gồm cả chủ thẻ đã sở hữu thẻ Vietcombank Connect24 phiên bản từ chưa đăng kí chuyển đổi sang thẻ phiên bản chip trước thời gian bắt đầu chương trình),

,1. Thời gian triển khai: ,Từ 25/10/2020 đến hết 25/12/2020;,

,2. Ưu đãi:,

,
	,Hoàn 100.000 VNĐ khi thực hiện giao dịch đầu tiên thành công bằng thẻ chip nội địa Vietcombank tại POS có giá trị từ 500.000 VNĐ,
	,Áp dụng cho 10.000 chủ thẻ đủ điều kiện đầu tiên.,
,

,Thể lệ chi tiết xem, ,tại đây,

,Chuyển đổi thẻ ghi nợ nội địa Vietcombank phiên bản từ sang phiên bản chip contactless ngay hôm nay để tận hưởng ưu đãi hấp dẫn của Vietcombank!,

,Chuyển đổi thẻ là hoàn toàn miễn phí!,

,

,Vui lòng liên hệ Trung tâm Hỗ trợ khách hàng 1900 54 54 13 hoặc chi nhánh Vietcombank gần nhất để được hỗ trợ,

            ",23/10/2020 04:52 CH,CHƯƠNG TRÌNH XÀI THẺ NHẬN QUÀ CÙNG THẺ NỘI ĐỊA VIETCOMBANK CONNECT24 CHIP CONTACTLESS
"Vietcombank thực hiện giảm lãi suất cho vay sản xuất kinh doanh, mua nhà, xây sửa nhà, mua ô tô … đối với khách hàng cá nhân và khách hàng SME dịp cuối năm 2020.",Banking group,"
                ,Nhằm hỗ trợ khách hàng đẩy mạnh hoạt động sản xuất kinh trong mùa cao điểm cuối năm, Vietcombank thực hiện giảm lãi suất cho các khoản vay sản xuất kinh doanh đối với khách hàng cá nhân và khách hàng doanh nghiệp nhỏ và vừa (SMEs).,

,Cụ thể, với khách hàng SME, mức lãi suất cho vay kinh doanh chỉ từ 5,9%/năm, áp dụng cho các khoản giải ngân mới từ ngày 13/10/2020.,

,Với khách hàng là cá nhân vay vốn kinh doanh, mức lãi suất cho vay sẽ chỉ từ 6,5%/năm. Đặc biệt, khách hàng vay vốn theo sản phẩm Kinh doanh Tài lộc sẽ được áp dụng mức lãi suất ưu đặc biệt ưu đãi chỉ từ 5,7%/năm, áp dụng cho các khoản giải ngân mới từ ngày 20/10/2020.,

,Ngoài ra, đối với các nhu cầu vay tiêu dùng như mua nhà, xây sửa nhà, mua xe ô tô … khách hàng có thể vay vốn với lãi suất ưu đãi chỉ từ 6,79%/năm, cố định trong 06 hoặc 12 tháng đầu tiên. Mức lãi suất này áp dụng cho các khoản giải ngân từ ngày 20/10/2020.,

,Quý khách hàng vui lòng liên hệ ngay với các điểm giao dịch của Vietcombank trên toàn quốc để được tư vấn chi tiết về các chương trình ưu đãi lãi suất cho vay./.,

,VCB News,

            ",22/10/2020 03:29 CH,VIETCOMBANK GIẢM LÃI SUẤT VAY ĐỐI VỚI KHÁCH HÀNG CÁ NHÂN VÀ KHÁCH HÀNG SME DỊP CUỐI NĂM 2020
